                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.8114,                 1.8325,                   1.72,                0.47208,                0.37626,                0.36717,                0.18942,                 1.7327,                  1.808,                 1.6781,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.7896,                 1.8434,                 1.7407,                0.45644,                0.36337,                0.34782,                0.17448,                 1.7595,                 1.8562,                 1.6869,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.7564,                 1.8345,                 1.7374,                 0.4638,                0.37132,                0.36033,                0.18346,                 1.7367,                   1.77,                 1.6623,              0.0013169,              0.0013169,              0.0013169
                     71,                  1.759,                 1.8231,                 1.7315,                0.43915,                0.35916,                0.34411,                0.18835,                 1.6936,                 1.7459,                 1.6634,               0.001307,               0.001307,               0.001307
                     72,                 1.7598,                 1.8155,                 1.7015,                0.49775,                 0.3674,                0.37998,                0.19706,                 1.7189,                 1.8144,                  1.638,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.7286,                 1.8463,                 1.7321,                0.48497,                0.37626,                0.37259,                0.19541,                 1.7172,                 1.7135,                 1.6654,              0.0012872,              0.0012872,              0.0012872
                     74,                  1.748,                 1.7597,                 1.7015,                0.50257,                0.37932,                0.38796,                0.20155,                  1.703,                 1.6975,                 1.6425,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.7218,                 1.7904,                 1.7001,                0.50878,                0.37647,                0.38354,                0.20069,                 1.7001,                 1.6664,                 1.6465,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.7314,                 1.7927,                 1.6949,                0.46938,                0.37606,                 0.3656,                0.18515,                 1.6965,                 1.7643,                 1.6191,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.7169,                 1.8102,                 1.6905,                0.49228,                0.35689,                0.36507,                0.18391,                 1.7169,                 1.8125,                 1.6538,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.7348,                 1.8531,                 1.7301,                0.44477,                0.39007,                0.36713,                0.18185,                 1.7342,                 1.8655,                 1.6653,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.7126,                 1.7963,                  1.703,                0.47433,                0.36452,                0.35959,                0.19426,                 1.6609,                 1.7714,                 1.6237,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.7084,                 1.7661,                 1.7017,                0.51133,                  0.381,                0.39213,                0.20286,                 1.7227,                 1.6783,                 1.6367,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.7279,                 1.7828,                 1.7241,                0.48126,                0.36513,                 0.3629,                0.19256,                 1.7173,                 1.7123,                 1.6553,               0.001208,               0.001208,               0.001208
                     82,                 1.7189,                 1.8004,                  1.699,                0.51122,                0.38224,                0.38959,                0.20376,                 1.6958,                 1.6715,                 1.6313,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.7216,                 1.7639,                 1.6962,                 0.5148,                0.39481,                0.40496,                0.21747,                 1.6648,                 1.6398,                  1.609,              0.0011882,              0.0011882,              0.0011882
                     84,                  1.701,                 1.7628,                 1.6954,                0.49379,                0.38924,                0.39852,                0.20581,                  1.677,                 1.6654,                 1.6083,              0.0011783,              0.0011783,              0.0011783
                     85,                  1.702,                 1.7573,                 1.6935,                0.52034,                0.39563,                0.40699,                 0.2158,                 1.6923,                 1.6352,                 1.6375,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.7019,                 1.7676,                  1.694,                0.49897,                0.38059,                0.38308,                0.20864,                 1.6641,                 1.6626,                 1.6247,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.6913,                 1.7818,                 1.6688,                0.52555,                0.40305,                0.42108,                0.22325,                 1.6566,                 1.6018,                 1.5949,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.6699,                 1.7217,                 1.6865,                0.54715,                0.39625,                0.42154,                0.22603,                 1.6496,                 1.5887,                 1.5947,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.6872,                 1.7714,                 1.6881,                0.45737,                0.39495,                0.38286,                0.20459,                 1.6635,                 1.7795,                 1.5987,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.6703,                  1.735,                 1.6608,                0.50196,                0.40985,                0.41045,                0.21988,                 1.6398,                 1.5985,                 1.5948,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.7107,                  1.742,                 1.6979,                 0.5335,                0.38739,                0.41248,                0.22874,                 1.6285,                 1.5728,                  1.593,               0.001109,               0.001109,               0.001109
